StationNumber,Station name
11044800,DE LUZ C NR DE LUZ CA
11045300,FALLBROOK C NR FALLBROOK CA
11045600,ONEILL LAKE OUTLET CH NR FALLBROOK CA
11045700,ONEILL LK SPILL CH NR FALLBROOK CA
11046000,SANTA MARGARITA R A YSIDORA CA
11046300,SAN MATEO C NR SAN CLEMENTE CA
11046325,SAN MATEO C A SAN MATEO RD NR SAN ONOFRE CA
11046360,CRISTIANITOS C AB SAN MATEO C NR SAN CLEMENTE CA
11046530,SAN JUAN C AT LA NOVIA ST BR AT SAN JUAN CAPIS CA
11047300,ARROYO TRABUCO A SAN JUAN CAPISTRANO CA
11048175,AGUA CHINON WASH A PORTOLA SPRINGS RD NR IRVINE CA
11048600,BONITA C A IRVINE CA
11049500,SCE SANTA ANA R CN AB PP3 NR MENTONE CA
11049590,SANTA ANA R CANAL GREENSPOT SPILL NR MENTONE CA
11051499,SANTA ANA R NR MENTONE (RIVER ONLY) CA
11051500,SANTA ANA R NR MENTONE CA
11051500,SANTA ANA R NR MENTONE CA
11051501,SANTA ANA R NR MENTONE CN + CN CA
11051502,SAR SUPP GAGE NR MENTONE CA
11052500,MILL C POWER CANALS 2 AND 3 NR YUCAIPA CA
11055000,MILL C NR MENTONE CA
11055000,MILL C NR MENTONE CA
11055500,PLUNGE C NR EAST HIGHLANDS CA
11055700,CITY C WATER CO CN NR HIGHLAND CA
11055800,CITY C NR HIGHLAND CA
11055801,CITY C NR HIGHLAND CA.+ CANALS CA
11057500,SAN TIMOTEO C NR LOMA LINDA CA
11058500,E TWIN C NR ARROWHEAD SPRINGS CA
11058600,WATERMAN CANYON CREEK NR ARROWHEAD SPRINGS CA
11059300,SANTA ANA R A E ST NR SAN BERNARDINO CA
11060400,WARM C NR SAN BERNARDINO CA
11060900,SCE LYTLE C CONDUIT NR FONTANA CA
11061000,FONTANA WATER CO INFILTRATION LINE NR FONTANA CA
11062000,LYTLE C NR FONTANA CA
11062001,LYTLE+BRLNE+COND+INF - W27 CA
11062399,FONTANA WATER CO SURFACE DIV WEIR 2 NR FONTANA CA
11062400,FONTANA WATER CO SURFACE DIV NR FONTANA CA
11062402,LYTLE C SURFACE DIV NR FONTANA CA
11062450,FONTANA PH FOREBAY SPILLWAY NR FONTANA CA
11062700,LYTLE C DIV TO FONTANA PH AVM NR FONTANA CA
11062800,FONTANA WATER CO SPILL CH FROM AFTERBAY NR FONTANA
11063510,CAJON C BL LONE PINE C NR KEENBROOK CA
11063680,DEVIL CYN C NR SAN BERNARDINO CA
11065000,LYTLE C A COLTON CA
11066460,SANTA ANA R A MWD CROSSING CA
11069500,SAN JACINTO R NR SAN JACINTO
11070150,SAN JACINTO R AB STATE STREET NR SAN JACINTO CA
11070210,SAN JACINTO R A RAMONA EXPRESSWAY NR LAKEVIEW CA
11070270,PERRIS VALLEY STORM DR A NUEVO RD NR PERRIS CA
11070365,SAN JACINTO R NR SUN CITY CA
11070465,SALT C A MURRIETA RD NR SUN CITY CA
11070500,SAN JACINTO R NR ELSINORE CA
11071760,COLDWATER CANYON C NR CORONA CA
11071900,TEMESCAL C A CORONA LK NR CORONA CA
11072100,TEMESCAL C AB MAIN ST A CORONA CA
11073300,SAN ANTONIO C A RIVERSIDE DRIVE NR CHINO CA
11073360,CHINO C A SCHAEFER AVENUE NR CHINO CA
11073495,CUCAMONGA C NR MIRA LOMA CA
11074000,SANTA ANA R BL PRADO DAM CA
11075720,CARBON C BL CARBON CYN DAM CA
11075800,SANTIAGO C A MODJESKA CA
11077500,SANTIAGO C A SANTA ANA CA
11078000,SANTA ANA R A SANTA ANA CA
11085000,SAN GABRIEL R BL SANTA FE DAM NR BALDWIN PK CA
11087020,SAN GABRIEL R AB WHITTIER NARROWS DAM CA
11088500,BREA C BL BREA DAM NR FULLERTON CA
11089500,FULLERTON C BL FULLERTON DAM NR BREA CA
11092450,LOS ANGELES R A SEPULVEDA DAM CA
11097000,BIG TUJUNGA C BL HANSEN DAM CA
11098000,ARROYO SECO NR PASADENA CA
11101250,RIO HONDO AB WHITTIER NARROWS DAM CA
11102300,RIO HONDO BL WHITTIER NARROWS DAM CA
11108087,CASTAIC PP NR CASTAIC CA
11108134,CASTAIC C BLW MWD DIV BLW CASTAIC LK NR CASTAIC
11109000,SANTA CLARA R NR PIRU CA
11109375,PIRU C BL BUCK C NR PYRAMID LK CA
11109395,CANADA DE LOS ALAMOS AB PYRAMID LK CA
11109398,WB CA AQUEDUCT A WILLIAM WARNE PP NR GORMAN CA
11109398,WB CA AQUEDUCT A WILLIAM WARNE PP NR GORMAN CA
11109525,PIRU C BL PYRAMID LK NR GORMAN CA
11109600,PIRU CREEK ABOVE LAKE PIRU CA
11109800,PIRU CREEK BELOW SANTA FELICIA DAM CA
11111500,SESPE CREEK NEAR WHEELER SPRINGS CA
11113000,SESPE C NR FILLMORE
11113500,SANTA PAULA C NR SANTA PAULA
11114495,MATILIJA C NR RES NR MATILIJA HOT SPRINGS CA
11118500,VENTURA R NR VENTURA
11119500,CARPINTERIA C NR CARPINTERIA CA
11119745,MISSION C A ROCKY NOOK PARK A SANTA BARBARA CA
11119750,MISSION C NR MISSION ST NR SANTA BARBARA CA
11119940,MARIA YGNACIO C A UNIVERSITY DRIVE NR GOLETA CA
11120000,ATASCADERO C NR GOLETA CA
11120500,SAN JOSE C NR GOLETA CA
11120520,SAN PEDRO C A GOLETA CA
11121900,GIBRALTAR DAM DIV WEIR A GIBRALTAR DAM CA
11122000,SANTA YNEZ R AB GIBRALTAR DAM NR SANTA BARBARA CA
11122010,GIBRALTAR DAM RELEASE WEIR A GIBRALTAR DAM CA
11123000,SANTA YNEZ R BL GIBRALTAR DAM NR SANTA BARBARA CA
11123500,SANTA YNEZ R BL LOS LAURLS CYN NR SNTA YNEZ CA
11124500,SANTA CRUZ C NR SANTA YNEZ CA
11125600,HILTON CYN C NR SANTA YNEZ CA
11125605,HILTON CYN C 0.25 MI BL BRADBURY DAM NR SANTA YNEZ
11126000,SANTA YNEZ R NR SANTA YNEZ CA
11126400,SANTA YNEZ R A HWY 154 NR SANTA YNEZ CA
11128250,ALAMO PINTADO C NR SOLVANG CA
11128500,SANTA YNEZ R A SOLVANG CA
11129800,ZACA C NR BUELLTON CA
11132500,SALSIPUEDES C NR LOMPOC CA
11133000,SANTA YNEZ R A NARROWS NR LOMPOC CA
11134000,SANTA YNEZ R A H ST NR LOMPOC CA
11135800,SAN ANTONIO C A LOS ALAMOS CA
11136040,HARRIS CANYON C NR ORCUTT CA
11136045,SAN ANTONIO C A SAN ANTONIO RD E NR ORCUTT CA
11136100,SAN ANTONIO C NR CASMALIA CA
